Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,Compositae,Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corchorus aestuans L.,Malvaceae,Corchorus aestuans L.,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Coronopus didymus  (L.) Sm.,Brassicaceae,Lepidium didymum L.,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Myrtaceae,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Cosmos bipinnatus Cav.,Compositae,Cosmos bipinnatus Cav.,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmos sulphureus Cav.,Compositae,Cosmos sulphureus Cav.,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
Cotula australis  (Sieber ex Spreng.) Hook.f,Compositae,Cotula australis (Sieber ex Spreng.) Hook.f.,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Crassocephalum crepidioides (Benth.) S. Moore,Compositae,Crassocephalum crepidioides (Benth.) S.Moore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Craterostigma plantagineum Hochst.,Linderniaceae,Craterostigma plantagineum Hochst.,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Crepis sancta (L.) Bornm.,Compositae,Crepis sancta (L.) Bornm.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crotalaria incana L.,Leguminosae,Crotalaria incana L.,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crotalaria micans Link,Leguminosae,Crotalaria micans Link,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Croton bonplandianum Baill.,Euphorbiaceae,Croton bonplandianus Baill.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cryptostegia grandiflora  Roxb. ex R.Br,Apocynaceae,Cryptostegia grandiflora Roxb. ex R.Br.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cryptostegia madagascariensis Bojer ex Decne.,Apocynaceae,Cryptostegia madagascariensis Bojer ex Decne.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cuscuta campestris Yunck.,Convolvulaceae,Cuscuta campestris Yunck.,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
